NTAName,County Name,Total Population,Male_Pop,Female_Pop,Hsp_Pop,Not_Hsp_Pop,White_Pop,Black_Pop,AmericanIndian_AlaskanNative_Pop,Asian_Pop,NativeHawaiian_Pop,Other_Pop,Two+_Pop,BoroCode,Shape_Leng,Shape_Area,Male_Pop_WA,Female_Pop_WA,Hsp_Pop_WA,Not_Hsp_Pop_WA,White_Pop_WA,Black_Pop_WA,AmericanIndian_AlaskanNative_Pop_WA,Asian_Pop_WA,NativeHawaiian_Pop_WA,Other_Pop_WA,Two+_Pop_WA
Calvary & Mount Zion Cemeteries, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,22214.0792314,14291819.9444,78663.25301204821,78667.25301204821,100881.33224344821,14392701.276643448,14471364.529655496,14550031.782667546,14650913.114910994,29043614.39155444,43514978.92120994,58065010.70387748,72715923.81878847
Calvert Vaux Park, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,11280.7390606,4222370.92529,110544.24637681161,110547.2463768116,121827.9854374116,4344198.910727411,4454743.157104223,4565290.403481035,4687118.388918445,9031317.299645856,13486060.456750078,18051350.860231113,22738469.249149557
Cambria Heights, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,26160.9873853,33073254.0453,78663.25301204821,78667.25301204821,104828.2403973482,33178082.28569735,33256745.538709395,33335412.79172144,33440241.03211879,66618323.31781614,99875068.85652553,133210481.64824696,166650722.68036577
Canarsie, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,42345.5534557,70537629.8709,110544.24637681161,110547.2463768116,152892.79983251158,70690522.67073251,70801066.91710933,70911614.16348612,71064506.96331865,141755029.63405114,212556096.55116048,283467710.71464664,354532217.6779653
Canarsie Park & Pier, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,24203.9931496,11552049.3466,110544.24637681161,110547.2463768116,134751.2395264116,11686800.586126411,11797344.832503222,11907892.078880034,12042643.318406444,23729443.904532854,35526788.73703608,47434680.815916106,59477324.134322554
Carroll Gardens-Cobble Hill-Gowanus-Red Hook, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,67164.8709595,60811778.3978,110544.24637681161,110547.2463768116,177712.1173363116,60989490.51513631,61100034.76151312,61210582.00788993,61388294.125226244,122377784.64036256,183477819.40187567,244688401.40976563,306076695.53499186
Castle Hill-Unionport, Bronx,30068.44897959184,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.6122448979592,476.59183673469386,2.0,39756.7170959,32897687.2664,73248.22448979592,73250.22448979592,113006.94158569591,33010694.20798569,33083942.43247549,33157192.65696528,33270199.59855098,66280893.80653667,99364836.23901215,132522028.89597744,165792228.4945284
Central Park, New York,43615.10526315789,20781.973684210527,22833.13157894737,11036.684210526317,32578.42105263158,20508.105263157893,5279.289473684211,41.97368421052632,5196.421052631579,9.842105263157896,272.44736842105266,1270.342105263158,1.0,32721.0972934,38312378.7422,119808.63157894737,119809.63157894736,152530.72887234736,38464909.471072346,38584718.1026513,38704527.73423024,38857058.46310259,77321967.93417494,115906686.03682622,154611213.77105644,193468272.23415902
Chelsea-Hudson Yards, New York,43615.10526315789,20781.973684210527,22833.13157894737,11036.684210526317,32578.42105263158,20508.105263157893,5279.289473684211,41.97368421052632,5196.421052631579,9.842105263157896,272.44736842105266,1270.342105263158,1.0,40095.2356126,29671751.951,119808.63157894737,119809.63157894736,159904.86719154735,29831656.818191547,29951465.449770495,30071275.081349444,30231179.94854099,60062836.766732536,90014302.21650302,120085577.29785246,150316757.24639344
Chinatown-Two Bridges, New York,43615.10526315789,20781.973684210527,22833.13157894737,11036.684210526317,32578.42105263158,20508.105263157893,5279.289473684211,41.97368421052632,5196.421052631579,9.842105263157896,272.44736842105266,1270.342105263158,1.0,16464.3992533,11542574.0554,119808.63157894737,119809.63157894736,136274.03083224737,11678848.086232249,11798656.717811195,11918466.349390144,12054740.380222391,23733588.466454636,35532245.18426583,47450711.53365597,59505451.91387836
Claremont Park, Bronx,30068.44897959184,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.6122448979592,476.59183673469386,2.0,6258.490085050001,1863712.12146,73248.22448979592,73250.22448979592,79508.71457484592,1943220.836034846,2016469.0605246418,2089719.2850144377,2169227.9995892835,4112448.83562413,6128917.896148772,8218637.1811632095,10387865.180752493
Claremont Village-Claremont (East), Bronx,30068.44897959184,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.6122448979592,476.59183673469386,2.0,16428.1102572,9996877.32456,73248.22448979592,73250.22448979592,89678.33474699591,10086555.659306996,10159803.88379679,10233054.108286586,10322732.443033582,20409288.102340575,30569091.98613737,40802146.09442396,51124878.53745754
Clinton Hill, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,18102.9685664,14566585.0064,110544.24637681161,110547.2463768116,128650.2149432116,14695235.221343212,14805779.467720024,14916326.714096835,15044976.929040048,29740212.150383264,44545991.61810329,59462318.332200125,74507295.26124017
Co-op City, Bronx,30068.44897959184,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.6122448979592,476.59183673469386,2.0,25102.6270141,29055660.9167,73248.22448979592,73250.22448979592,98352.85150389592,29154013.7682039,29227261.992693692,29300512.21718349,29398865.068687387,58552878.836891286,87780140.82958499,117080653.04676847,146479518.11545587
College Point, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,67458.3118783,66709670.3218,78663.25301204821,78667.25301204821,146125.56489034818,66855795.88669035,66934459.1397024,67013126.39271445,67159251.9576048,134015047.84429516,200949506.98399755,267962633.37671202,335121885.3343168
Concourse-Concourse Village, Bronx,30068.44897959184,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.6122448979592,476.59183673469386,2.0,29455.0837062,26502799.8279,73248.22448979592,73250.22448979592,102705.30819599592,26605505.136095997,26678753.360585794,26752003.585075587,26854708.893271584,53460214.02936758,80138967.38995337,106890970.97502895,133745679.86830054
Coney Island-Sea Gate, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,49209.0296394,47501301.5754,110544.24637681161,110547.2463768116,159756.2760162116,47661057.851416215,47771602.09779303,47882149.34416984,48041905.620186046,95702963.47160228,143474565.5693953,191356714.91356516,239398620.5337512
