NTAName_y,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino
Forest Park,0,,,,,,,,
Fort Greene,121625,44.101130524152104,17.942034943473793,0.1751284686536485,9.660020554984584,0.0,0.6215827338129497,3.969578622816033,23.530524152106885
Fort Hamilton,13974,15.09947044511235,19.364534134821813,0.29340203234578505,19.407471017604124,0.178903678259625,7.406612279948475,2.73364820380707,35.515958208100756
Fort Totten,0,,,,,,,,
Fort Wadsworth,10359,22.84004247514239,4.237860797374264,1.9693020561830292,40.148662998358915,0.0,3.127715030408341,3.919297229462303,23.75711941307076
Fresh Meadows-Utopia,22453,29.368013183093574,5.696343473032557,0.0,49.86416069122166,0.0,0.9887320179931411,2.396116331893288,11.686634302765778
Freshkills Park (North),0,,,,,,,,
Freshkills Park (South),24,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Glen Oaks-Floral Park-New Hyde Park,24998,35.686854948395876,4.224337947035763,0.7360588847107769,43.895511640931275,0.18001440115209216,2.740219217537403,2.660212817025362,9.876790143211457
Glendale,38555,52.74024121385035,1.4005965503825704,0.05706134094151213,3.625988847101543,0.0,0.14265335235378032,1.1152898456750098,40.91816884969524
Gramercy,55622,52.596095070295924,8.626083204487433,0.1456258315055194,13.807486246449246,0.0952860378986732,0.40811189816978893,1.9039229082017908,22.417388802991624
Grasmere-Arrochar-South Beach-Dongan Hills,83989,54.97624688947362,8.427294050411364,0.05238781268975699,13.045755991856076,0.0,0.27503601662122423,2.044315327007108,21.178963911940848
Gravesend (East)-Homecrest,107816,33.49966609779624,33.82800326482155,0.28845440379906506,9.532907917192253,0.15396601617570677,1.5674853454032796,3.09045039697262,18.03906655783928
Gravesend (South),38245,34.72349326709374,27.185252974245,0.07844162635638645,18.415479147600994,0.0,1.4224081579291412,2.5938031115178455,15.581121715256895
Gravesend (West),104807,25.089927199519117,30.388237426889425,0.11831270812064079,24.412491532054155,0.06965183623231272,0.6507198946635244,2.501741295905808,16.768918106615015
Great Kills Park,1926,6.28245067497404,11.734164070612668,0.0,40.13499480789201,0.0,23.00103842159917,8.618899273104882,10.228452751817239
Great Kills-Eltingville,65215,76.06072222648163,1.9704055815379897,0.33581231311814763,6.089089933297554,0.0,0.19934064249022462,0.7298934294257456,14.614735873648701
Green-Wood Cemetery,17334,44.03484481366101,20.1223029883466,0.0,4.413291796469367,0.0,0.7961232260297681,0.7384331371870312,29.895004038306215
Greenpoint,50984,59.848187666718964,2.1516554213086456,0.4275851247450181,10.766122705162404,0.0,0.6276478895339714,4.0561744861132905,22.1226267064177
Greenwich Village,69844,60.25571273122959,8.854017524769485,0.0,10.968730313269571,0.01861290876811179,0.33646412003894394,3.0668346600996506,16.49962774182464
Hamilton Heights-Sugar Hill,93142,20.343131992012196,25.68229155483026,0.018251701702776405,5.29191986429323,0.0,0.6345150415494621,2.4414335101243263,45.58845633548775
Harlem (North),185928,25.647562497310787,30.496213588055593,0.14952024439568004,11.573297190310228,0.0016135278172195687,1.31018458758229,2.6171421195301408,28.204466244998066
Harlem (South),100987,28.65517343816531,30.40886450731282,0.12773921395823226,11.542079673621357,0.02574588808460495,1.3090793864556824,2.341885589234258,25.589432303167737
Hart Island,3884,7.4150360453141095,65.42224510813594,0.0,2.600411946446962,0.0,1.132852729145211,1.6477857878475797,21.781668383110194
Hell's Kitchen,87326,45.72292329890296,10.206582232095824,0.2301719991755033,13.222866042186748,0.0,0.3046057302521586,3.640382016810572,26.672468680576234
Highbridge,95227,25.614584099047537,22.61858506516009,0.18482153170844404,8.402028836359436,0.014701712749535321,0.47360517500288785,2.1622018965209446,40.52947168345112
Highbridge Park,2991,17.719826145101973,69.5085255767302,0.0,2.0060180541624875,0.0,0.6352390504847877,2.908726178535607,7.221664994984955
Highland Park-Cypress Hills Cemeteries (North),3569,71.3925469319137,3.0540767722050997,0.7004763239002522,7.032782291958532,0.0,2.1014289717007566,4.483048472961614,11.235640235360044
Highland Park-Cypress Hills Cemeteries (South),0,,,,,,,,
Hoffman & Swinburne Islands,0,,,,,,,,
Hollis,43248,25.487883832778397,33.46281908990011,0.13411024787273398,19.3326859045505,0.0,3.32732149463559,3.0660377358490565,15.189141694413614
Holy Cross Cemetery,24,0.0,20.833333333333336,0.0,0.0,0.0,0.0,0.0,79.16666666666666
Howard Beach-Lindenwood,32379,58.24454121498503,13.598319898699774,0.0,4.345409061428704,0.0,0.43237901108743326,4.870440717749158,18.508910096049906
Hunts Point,20176,19.88005551149881,22.30868358445678,0.05947660586835844,2.7805313243457572,0.0,0.63441712926249,0.6145915939730373,53.72224425059476
