NTAName,Population,Weighted Median Income,Below Poverty Line %,EAPop,Bachelor degree,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino,NormalizedSD,Total_NYPD_Complaints,avg_compound_score,norm_compound_score
Far Rockaway-Bayswater,5412.428571428572,76024.21156333307,18.28983897834536,40867,10.02275674749798,63978,24.910125355590985,43.139829316327486,0.0,4.667229360092532,0.0312607458813967,0.6939885585670074,3.104192066022695,23.453374597517897,0.7034009581676326,0.08515428096018793,-0.3588318745834259,0.5716633580067216
Flatbush,3691.871794871795,82737.45714424619,13.710367223857228,60631,14.01263380119081,74039,16.897851132511242,55.303286105971175,0.3552181958157187,4.494928348573049,0.0,0.7401504612433988,2.863355798970813,19.3452099569146,1.7706478038679525,0.060002309049825994,-0.3451217218737185,0.6057754447642698
Flatbush (West)-Ditmas Park-Parkville,3736.277777777778,87233.28452262352,15.458083617869676,39988,15.887266179853956,60438,27.957576359244182,29.385485952546407,0.2018597571064562,18.90532446474073,0.0148912935570336,2.4421721433535195,2.7366888381481846,18.356001191303484,1.857191640647528,0.03768630589176753,-0.4059517832128471,0.4544248089396145
Flatlands,2555.6346153846152,97645.00948883688,10.063341583120096,70560,14.010770975056689,82422,13.430880104826382,69.49964815219238,0.0679430249205309,3.864259542355197,0.089781854359273,1.0785955206134286,2.617019727742593,9.35187207299022,0.7828589002539339,0.03599773242630386,-0.4539411513207784,0.3350229668887532
Flushing-Willets Point,4125.888888888889,55849.97755814684,20.878895571350466,47202,10.327952205415023,64271,7.256772105615285,4.588383563348945,0.3547478645112103,68.93777909165875,0.062236467458107,0.2333867529679015,1.555911686452677,17.010782467987116,1.1036665356876316,0.08118300072030846,-0.3637203339811823,0.5595004335945852
Fordham Heights,5219.368421052632,43847.70995684092,33.19170430235322,29160,4.214677640603567,41473,4.197911894485569,20.09500156728474,0.1398500229064692,2.179731391507728,0.0988594989511248,0.4026716176789718,1.24900537699226,71.63696863019314,5.764753432659437,0.09444444444444444,-0.3165235043752049,0.6769303689344288
Forest Hills,3693.054054054054,111360.10514259788,7.066085614614691,87668,24.449057809006707,87466,48.52514119772254,3.0537580316923147,0.0388722475018864,28.12521436901196,0.0102897125740287,0.3178377883977774,4.501177600439028,15.427709052660465,0.7340073238029939,0.02435324177579048,-0.3668638818543784,0.5516790051942255
Fort Greene,3319.423076923077,131720.9898847112,18.534034524764536,29117,21.228148504310195,121625,44.1011305241521,17.942034943473793,0.1751284686536485,9.660020554984584,0.0,0.6215827338129497,3.969578622816033,23.530524152106885,2.4260255755822846,0.09547686918295153,-0.3433290839968533,0.6102356882112443
Fort Hamilton,2169.285714285714,102059.79104379322,0.0,1264,18.43354430379747,13974,15.09947044511235,19.364534134821813,0.293402032345785,19.407471017604124,0.178903678259625,7.406612279948475,2.73364820380707,35.51595820810076,5.025712475836815,0.004746835443037975,-0.2249514332348802,0.9047698760097516
Fort Wadsworth,3297.333333333333,93678.40406389002,0.0,588,12.585034013605442,10359,22.84004247514239,4.237860797374264,1.9693020561830288,40.14866299835892,0.0,3.127715030408341,3.919297229462303,23.75711941307076,4.312129056591436,0.017006802721088437,-0.483809101431934,0.260708834359765
Fresh Meadows-Utopia,3763.470588235294,95596.26064802513,9.352680589458458,11994,18.701017175254293,22453,29.368013183093574,5.696343473032557,0.0,49.86416069122166,0.0,0.9887320179931413,2.396116331893288,11.686634302765778,1.2814276945357226,0.04618976154744039,-0.4127086207943463,0.4376131924195763
Glen Oaks-Floral Park-New Hyde Park,4865.181818181818,121964.10495730328,7.552709922107581,15702,19.220481467329005,24998,35.68685494839588,4.224337947035763,0.7360588847107769,43.89551164093128,0.1800144011520921,2.740219217537403,2.660212817025362,9.876790143211457,0.9365278602536088,0.03088778499554197,-0.3597160009110148,0.5694635725900361
Glendale,2471.230769230769,87832.03201456764,7.930415573657325,35677,11.382683521596547,38555,52.74024121385035,1.4005965503825704,0.0570613409415121,3.625988847101543,0.0,0.1426533523537803,1.1152898456750098,40.91816884969524,1.4176388234413022,0.028982257476805787,-0.4531646538448056,0.3369549620917422
Gramercy,6633.294117647059,186525.53322810063,10.76324113877849,26497,32.52821074083859,55622,52.59609507029592,8.626083204487433,0.1456258315055194,13.807486246449246,0.0952860378986732,0.4081118981697889,1.9039229082017908,22.417388802991624,5.651514377671845,0.08774578254141978,-0.2756799229898207,0.7785528541982668
Grasmere-Arrochar-South Beach-Dongan Hills,3691.2631578947367,101493.8632189808,11.276687980925544,26438,15.035176639685302,83989,54.97624688947362,8.427294050411364,0.0523878126897569,13.045755991856076,0.0,0.2750360166212242,2.044315327007108,21.178963911940848,0.5309789092304463,0.05106286405930857,-0.3810415944691263,0.516403587554608
Gravesend (East)-Homecrest,3215.342105263158,75704.3245950746,15.901762279715037,51364,14.730161202398568,107816,33.49966609779624,33.82800326482155,0.288454403799065,9.532907917192253,0.1539660161757067,1.5674853454032796,3.09045039697262,18.03906655783928,1.219539557396444,0.030176777509539756,-0.4000699342772719,0.4690593754126102
