NTAName,Shape_Leng,Shape_Area,Total Population,Below Poverty Level,Above Poverty Level,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher",Below Poverty Level_WA,Above Poverty Level_WA,Less than 9th grade_WA,"9th to 12th grade, no diploma_WA",High school diploma_WA,Some college_WA,Associate degree_WA,Bachelor degree_WA,Graduate degree_WA,"High school graduate, or higher_WA","Bachelor degree, or higher_WA"
Far Rockaway-Bayswater,48626.2096497,60475222.2948,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,60529877.89906852,121059755.79813704,242119511.59627408,484239023.19254816,968478046.3850963,1936956092.7701926,3873912185.5403852,7747824371.0807705,15495648742.161541,30991297484.323082,61982594968.646164
Ferry Point Park-St. Raymond Cemetery,26872.2149219,21745194.1736,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,21779946.24102927,43559892.48205854,87119784.96411708,174239569.92823416,348479139.8564683,696958279.7129366,1393916559.4258733,2787833118.8517466,5575666237.703493,11151332475.406986,22302664950.813972
Flushing Meadows-Corona Park,61473.323293600006,55241396.9518,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,55308899.669712424,110617799.33942485,221235598.6788497,442471197.3576994,884942394.7153988,1769884789.4307976,3539769578.861595,7079539157.72319,14159078315.44638,28318156630.89276,56636313261.78552
Flushing-Willets Point,30770.909402199995,38542563.309,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,38579363.61302103,77158727.22604206,154317454.45208412,308634908.90416825,617269817.8083365,1234539635.616673,2469079271.233346,4938158542.466692,9876317084.933384,19752634169.866768,39505268339.733536
Fordham Heights,12917.280085199998,7379039.86143,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,7399836.994022575,14799673.98804515,29599347.9760903,59198695.9521806,118397391.9043612,236794783.8087224,473589567.6174448,947179135.2348896,1894358270.4697793,3788716540.9395585,7577433081.879117
Forest Hills,36075.2581008,57953604.1125,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,57995708.76521962,115991417.53043924,231982835.0608785,463965670.121757,927931340.243514,1855862680.487028,3711725360.974056,7423450721.948112,14846901443.896223,29693802887.792446,59387605775.58489
Forest Park,29484.7879712,24010777.1287,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,24046291.311290033,48092582.62258007,96185165.24516013,192370330.49032027,384740660.98064053,769481321.9612811,1538962643.9225621,3077925287.8451242,6155850575.6902485,12311701151.380497,24623402302.760994
Fort Totten,14563.7381599,6957321.370969999,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,6977914.5037487345,13955829.007497469,27911658.014994938,55823316.029989876,111646632.05997975,223293264.1199595,446586528.239919,893173056.479838,1786346112.959676,3572692225.919352,7145384451.838704
Fresh Meadows-Utopia,28347.5466923,33196055.8932,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,33230432.83451113,66460865.66902226,132921731.33804452,265843462.67608905,531686925.3521781,1063373850.7043562,2126747701.4087124,4253495402.817425,8506990805.63485,17013981611.2697,34027963222.5394
Glen Oaks-Floral Park-New Hyde Park,33404.1387431,45421116.8137,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,45460550.34706193,90921100.69412386,181842201.38824773,363684402.77649546,727368805.5529909,1454737611.1059818,2909475222.2119637,5818950444.423927,11637900888.847855,23275801777.69571,46551603555.39142
