NTAName_x,Total Population_x,Below Poverty Line %,Total Population_y,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher"
Hell's Kitchen,55047,14.020745908042217,27122,45.947556615017874,7.657926102502979,16.29916567342074,35.36948748510131,42.87842669845054,290.37544696066743,157.65792610250298,47.91418355184744,16.358760429082242
Highbridge,32829,33.89685948399281,32234,261.7612977983777,68.59791425260718,37.02201622247972,147.4507531865585,81.28621089223638,129.02665121668596,22.769409038238702,6.662804171494785,4.634994206257242
Highland Park-Cypress Hills Cemeteries (North),20,0.0,17,0.0,0.0,0.0,0.22056796250344637,0.0,0.13785497656465398,0.0,0.0,0.11028398125172319
Hollis,22831,8.957119705663352,21189,221.6056670602125,68.83116883116884,27.15466351829988,151.94805194805195,88.66587957497049,130.93270365997637,58.44155844155844,6.375442739079102,6.6115702479338845
Holy Cross Cemetery,24,0.0,26,0.0,0.0,0.0,0.0,0.0,0.415564790328674,0.18889308651303363,0.0,0.0
Howard Beach-Lindenwood,30719,7.672775806504117,20397,69.52620809066583,10.955454116165592,11.93137100582402,31.260821659058713,21.375728002518496,35.636707067527155,19.943333858019834,3.9666299386116792,0.23610892491736185
Hunts Point,13685,34.314943368651804,7800,21.44790257104195,4.769959404600812,2.334235453315291,12.753721244925575,5.311231393775373,8.660351826792963,1.962110960757781,0.0,0.0
Hutchinson Metro Center,130,66.15384615384615,554,5.838967424708052,0.921942224953903,0.0,3.2267977873386604,0.21511985248924403,1.782421634910879,0.0,0.0,0.0
Inwood,42797,15.311820922027245,41936,148.5658409387223,29.139504563233377,28.389830508474578,123.17470664928291,58.21382007822686,201.3037809647979,98.85919165580182,22.913950456323338,21.38200782268579
Jackson Heights,93024,13.160044719642242,70383,740.7407407407408,69.16916916916917,71.17117117117117,218.5685685685686,196.6966966966967,492.4424424424425,237.0870870870871,40.04004004004004,35.33533533533533
Jacob Riis Park-Fort Tilden-Breezy Point Tip,13,0.0,11,0.1946787800129786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1946787800129786
Jamaica,58581,15.706457725201004,55604,157.79921892947394,69.12474155754651,24.74155754651964,108.63772111187686,65.44911555249253,148.44934527911784,44.153457385711,7.994486560992418,1.9067309901217548
Jamaica Estates-Holliswood,24346,8.859771625729072,16927,62.55725190839695,10.916030534351146,13.969465648854962,37.099236641221374,33.89312977099237,130.95419847328245,57.32824427480916,33.54961832061068,12.51908396946565
Jamaica Hills-Briarwood,40199,14.450608224085176,40618,142.11083656900811,59.72467349099894,43.48746911401341,130.14472290857748,85.0335333568655,256.7243205082951,105.36533709848217,15.213554535827745,8.64807624426403
Kensington,38986,14.533422254142515,34898,50.592789741108156,4.89958867650617,9.593515606097267,25.707718364384224,17.130413743043793,69.93709170094363,42.94701185579482,6.230341156544883,6.484393902734091
Kew Gardens,23968,8.528037383177569,18253,53.43563902885937,9.482363719651856,13.97159871736143,41.66284928996794,27.049931287219426,80.09619789280806,47.13696747595053,10.627576729271643,6.161245991754467
